configuration,tuning_f1,evaluation_f1,gain,tuning_rank,evaluation_rank
k-NN,0.5282980045476536,0.5436471426939827,0.0153491381463291,3,3
k-NN + SMOTE,0.5221881821270787,0.5339282497778408,0.011740067650762076,4,4
tree,0.5769326268360251,0.5892908002280871,0.012358173392062022,1,1
tree + SMOTE,0.5477323147918621,0.5646299187187465,0.01689760392688433,2,2
