configuration,precision_macro_pooled,recall_macro_pooled
k-NN,0.5715394060832578,0.5480009306605687
k-NN + SMOTE,0.5635105656891111,0.5813441088065568
tree,0.6167230608823633,0.6516052163592267
tree + SMOTE,0.5634544448634135,0.6208705869293828
