,f1_macro,f1_macro,f1_macro,f1_macro,balanced_accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy
configuration,k-NN,k-NN + SMOTE,tree,tree + SMOTE,k-NN,k-NN + SMOTE,tree,tree + SMOTE
fold,,,,,,,,
1,0.5434848217589869,0.5353055675849292,0.6010077333741599,0.5652130022232429,0.55082302279003,0.5846728367451867,0.6627338380070144,0.6103319574029691
2,0.5627325140159543,0.5406133940667401,0.6019401076429196,0.5784288564195235,0.5607895028042735,0.5910730341206654,0.6558989581248964,0.6250317331316602
3,0.5518818657971649,0.5420240774107998,0.5921357300904653,0.5685189865039415,0.5555271437719898,0.5948203783084487,0.6513928059716804,0.6164162322538088
4,0.5376607321198206,0.5362143295004846,0.5907168980817852,0.5665579578602821,0.5438019006781378,0.5783230407441324,0.6667184205875254,0.6347806430043079
5,0.5446159558649548,0.5308264272261112,0.5703697849565611,0.5482902364523883,0.5472889589005842,0.5796136009508069,0.6144013728652786,0.5978482562776843
6,0.5459468954686997,0.5337595270559599,0.5824063344385749,0.5732763225411797,0.5464889292140531,0.5763781016222654,0.6518737721368335,0.6309580136772868
7,0.5404145543583068,0.5300571133022092,0.5917253117609458,0.5670182173200389,0.5512386724715694,0.5739263113437405,0.6659652583403552,0.6380450442104108
8,0.5333883618343622,0.530201670379548,0.6032398359431864,0.5644638994379159,0.5380244530406787,0.5806264954393091,0.6527438230814134,0.6523251981689755
9,0.542002936586073,0.5300533899537518,0.5783634521994436,0.5568268190832215,0.5479278268440211,0.5775917892823809,0.6418222345559238,0.6129998485880737
10,0.5343427891355043,0.5302270012978741,0.5810028137928289,0.5577048893457308,0.5381830298929323,0.5764591106221868,0.6525723617487122,0.5899555516361308
