setting,threshold,bal_mean,bal_std,f1_mean,f1_std,seconds
every feature retained,,0.47624578021774333,0.011946390359822354,0.48513861398824565,0.018529235736202722,3.067739422199884
correlation filter at 0.99,0.99,0.47524502733927276,0.010916528213570894,0.48396839492915406,0.018426442716664954,2.9646497551999347
correlation filter at 0.95,0.95,0.4593456280625115,0.020108478763325232,0.47111775734532096,0.026833620561748976,2.483680701600042
correlation filter at 0.90,0.9,0.46034458800650124,0.023340979295549125,0.4725317215241672,0.031219154095083263,2.565186683599859
