criterion,max_depth,min_samples_leaf,class_weight,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
entropy,10.0,5,balanced,0.0,0.6500023645262561,0.023890153362903094,0.5221489807455875,0.019177043754407378,0.84160574739999,0.011599863999890658
entropy,10.0,20,balanced,0.0,0.6446897335753208,0.025104362728365446,0.49883417993923346,0.01314125163839746,0.8252061504000267,0.011774829999922076
entropy,15.0,20,balanced,0.0,0.6437844244543053,0.0214692468676948,0.5080067542223922,0.006040473526427355,0.9552363033998518,0.011682400599966059
gini,10.0,20,balanced,0.0,0.6391371923872111,0.021258104943509486,0.494277374023834,0.013286048875239613,0.5352789687999575,0.011505895800110012
entropy,20.0,20,balanced,0.0,0.6390116221283735,0.022007578529492002,0.5053015014834458,0.007327624718660745,0.9988016682000307,0.01203437419999318
gini,15.0,20,balanced,0.0,0.6382381190108318,0.026186626620807275,0.5070930070452219,0.012445071347403426,0.6223917707999135,0.011689630999990186
gini,10.0,5,balanced,0.0,0.6373467420851473,0.01644289008557619,0.5026577393254299,0.01350104070335143,0.5442649585999788,0.011607768399971973
entropy,,20,balanced,0.0,0.6358504740734899,0.022327229158071938,0.5043580399967968,0.007677233531895029,0.9851243573997636,0.01203393160003543
entropy,30.0,20,balanced,0.0,0.6357492789742006,0.022676154695488206,0.504332581996718,0.007821229003991506,0.9875995939999485,0.011903605999941646
gini,10.0,1,balanced,0.0,0.6351622275850599,0.012565337834869971,0.5041692776045916,0.013279535307870753,0.5291169966000779,0.011203706200012676
entropy,15.0,5,balanced,0.0,0.6340833725667825,0.014384559467246094,0.544542377458326,0.01350468144334654,1.0206475534000674,0.012623355399864523
entropy,10.0,1,balanced,0.0,0.6331310449757304,0.018495037451187017,0.5221485082006833,0.019151654819659063,0.8486754138000834,0.011321361799946316
gini,15.0,5,balanced,0.0,0.6311274118570166,0.024612543654094363,0.5422736931789339,0.020358881909840573,0.6471533476000332,0.011968881000120746
gini,20.0,20,balanced,0.0,0.6308196743076497,0.021887011544400713,0.49971409457008564,0.008731876065401364,0.6563057882001886,0.011553083599937963
gini,,20,balanced,0.0,0.6299647736154907,0.02583565692655882,0.4993142950489239,0.007913533088036362,0.6676480500000253,0.011872952399880888
gini,30.0,20,balanced,0.0,0.6296831654366297,0.02489203894422728,0.4994952278766456,0.007985044530765597,0.6699163937999402,0.0117744712001695
entropy,20.0,5,balanced,0.0,0.615297528912016,0.014363137975831181,0.5392359557341215,0.015077462803029571,1.062783763400057,0.012259828000242123
gini,20.0,5,balanced,0.0,0.6131816428190386,0.023177445430360932,0.5360190963858347,0.017036299384329816,0.707024392600124,0.011954823400083114
entropy,30.0,5,balanced,0.0,0.60494302518034,0.014867669929099188,0.5384614618033654,0.014581227629785764,1.0967645634000291,0.012092016000133298
gini,15.0,1,balanced,0.0,0.6042194243647516,0.011700306362779094,0.5436415997772674,0.015529095615745605,0.6954078707998633,0.012303551199966022
entropy,,5,balanced,0.0,0.604017086198289,0.014248980420888306,0.5379398935231683,0.014403262591219554,1.069374565599901,0.011994518999927095
gini,30.0,5,balanced,0.0,0.5986141080686999,0.02328164137032778,0.533085082715173,0.015215675901227035,0.7402324111999405,0.012172117000045547
gini,,5,balanced,0.0,0.5961642408669249,0.019563799679613636,0.5323737930258534,0.014366970252756994,0.7314096041999619,0.012002517199925932
entropy,15.0,1,balanced,0.0,0.5853168839259167,0.009214925582236853,0.5321725711845909,0.01226346687069788,1.0305796176000512,0.012718977799977438
gini,20.0,1,balanced,0.0,0.562956110963961,0.01446329300168587,0.5255505460301046,0.010081270581766319,0.7262070370000402,0.0118301328000598
entropy,20.0,1,balanced,0.0,0.5465555436939212,0.005061760324944292,0.5242409330500563,0.009043610537624956,1.1115169081999738,0.012739860200053955
gini,30.0,1,balanced,0.0,0.5299943770654568,0.013424883162441224,0.5198967648353856,0.011875865712896854,0.7884072986001229,0.012245318399982353
entropy,5.0,1,balanced,0.0,0.5273028615609165,0.01202003439429089,0.3206859267826717,0.013872341596396463,0.5730335219997869,0.010855790599998727
entropy,5.0,5,balanced,0.0,0.5272691179392106,0.01198971544035266,0.3206424687936301,0.013893148381501682,0.595818822199908,0.012788480600011098
entropy,5.0,20,balanced,0.0,0.5270787955382151,0.012002545243988243,0.32028857900933144,0.014103535993025175,0.5957911112001056,0.011455010799909359
entropy,30.0,1,,0.0,0.5252774209889448,0.015097172820007115,0.5296360993964512,0.012936688124733786,1.076662156599923,0.012239576599949942
entropy,30.0,1,balanced,0.0,0.5219522053981429,0.008499026413098694,0.5137802932417571,0.00792877521583846,1.1415111541999068,0.013523598000028869
entropy,,1,,0.0,0.5213461541949895,0.015707201434496342,0.5256661083527975,0.014150585074220194,1.082758914400074,0.012506896000013512
gini,,1,balanced,0.0,0.5209778553147044,0.008871269580736587,0.5152137421499761,0.008309331962313378,0.7995098874000177,0.012565880200145329
entropy,20.0,1,,0.0,0.5204786133791923,0.012845648603807252,0.5303056220402778,0.009140713072249085,1.0445538808000492,0.012089385999934166
entropy,30.0,5,,0.0,0.5195778417378303,0.013043399243101548,0.5346146621621346,0.018344187253465823,1.044353097000021,0.012348853199910081
entropy,,1,balanced,0.0,0.5183057345379767,0.009974842117706852,0.5125280995357357,0.008245808574907774,1.1312600402000499,0.012386511599925144
entropy,20.0,5,,0.0,0.5179833204487436,0.013625609776300045,0.5357773689075861,0.016719635909301846,0.9957181841999045,0.012213936000080139
entropy,15.0,1,,0.0,0.5172104634132422,0.01684152524095679,0.5317767651772772,0.012565757496358996,0.9599373849999211,0.012283438200120145
entropy,,5,,0.0,0.5163829447011568,0.008684406487525118,0.5307530492832595,0.013217292347409459,1.0195015868000155,0.01180807079999795
gini,30.0,5,,0.0,0.5150915744008568,0.015845735371012692,0.5278658405919359,0.014663583298530024,0.7417622605999895,0.011936935000085214
gini,,5,,0.0,0.5150418742993259,0.01517876074653615,0.5279446986135695,0.014276320450215865,0.7489858718000505,0.012463004399978671
gini,20.0,5,,0.0,0.5137168800125684,0.015053710491548212,0.5293633348081099,0.014318829033648384,0.717911772000025,0.011500962399895797
entropy,,20,,0.0,0.5126486761220889,0.01619475043157547,0.5265159358584672,0.019226036238757502,0.9543709927999771,0.012206594200051768
entropy,30.0,20,,0.0,0.512625664119694,0.01621824166135668,0.5264922558139009,0.019234476041929658,0.9617629943999418,0.012051785599942378
entropy,15.0,5,,0.0,0.5116109416771369,0.011909668402105928,0.5320899152206114,0.01845421037241624,0.977068103199963,0.01163371239999833
entropy,20.0,20,,0.0,0.5114444774558752,0.017404263542175172,0.5260188657941602,0.020623637930697606,0.9532768478001344,0.012404206799965322
gini,5.0,20,balanced,0.0,0.5059939087180673,0.012173410512679094,0.3007168679546082,0.0018727986877125897,0.3561416510000527,0.011723834599888506
gini,5.0,1,balanced,0.0,0.5059216028437625,0.012035878526276817,0.30062677951593214,0.0020318746769207793,0.3713520999999673,0.010763326000051166
gini,5.0,5,balanced,0.0,0.5058878592220567,0.012048931960771994,0.3005876656550049,0.0020206805266027744,0.362868293000065,0.01126584660005392
gini,30.0,1,,0.0,0.5046728178124646,0.010757317952191732,0.5078069285258259,0.010383193686530345,0.78617826159998,0.011939535399960732
gini,,1,,0.0,0.5041888526852112,0.01456084826294014,0.5073916607044457,0.01608926722847202,0.7991886818001148,0.01211253179990308
entropy,15.0,20,,0.0,0.5024232070429291,0.01549785600092961,0.51730743212676,0.019873283279784656,0.9109764742000153,0.012458073200104992
