comparison,shapiro_statistic,shapiro_p,normality_rejected
k-NN vs k-NN + SMOTE,0.943988897100653,0.5981893078020086,False
k-NN vs tree,0.9717936539860693,0.9069588788078623,False
k-NN vs tree + SMOTE,0.9289623703492491,0.4377639296308802,False
k-NN + SMOTE vs tree,0.9626429647557831,0.8155383892466198,False
k-NN + SMOTE vs tree + SMOTE,0.9426467934539776,0.5828232592153935,False
tree vs tree + SMOTE,0.8550469685210672,0.06668429154662103,False
