,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
k-NN,0.4,0.2,1.9000000000000001,2.3000000000000003,1.0,2.0,0.75,5.700000000000001,1.4000000000000001,2.0
k-NN + SMOTE,0.55,0.5,0.35000000000000003,2.0,1.0,0.45,1.0,0.30000000000000004,0.2,2.0
tree,1.5,0.5,0.2,1.6,1.6,0.75,1.0,1.0,0.2,0.65
tree + SMOTE,1.5,0.5,0.8500000000000001,1.8000000000000003,1.7000000000000002,0.95,0.95,0.2,0.2,1.1
