configuration,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,mcc_mean,mcc_std,kappa_mean,kappa_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,train_accuracy_mean,train_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,predict_seconds_mean,predict_seconds_std,fit_seconds_mean,fit_seconds_std
k-NN,0.548009344040827,0.00711016064634436,0.5436471426939827,0.008686641119540197,0.8045651924987128,0.0021610242334301507,0.7410874042164525,0.002718169538130887,0.7375833013705367,0.0028993528019809135,0.7948720327829216,0.0023720794921866743,0.5715394060832578,,0.5480009306605687,,0.9014,,0.7736824834913595,,98.386444712,,98.386444712,
k-NN + SMOTE,0.5813484699179122,0.006811808384462417,0.5339282497778408,0.004528838275820562,0.800247883217942,0.002565975645258509,0.7360669739388946,0.0031219461779672785,0.7315174922290526,0.0033618720686752245,0.789412912164524,0.002751963582102376,0.5635105656891111,,0.5813441088065568,,0.9016,,0.7586349987659335,,138.759084593,,138.759084593,
tree,0.6516122845419633,0.015125708159070713,0.5892908002280871,0.011062547764726963,0.7981453693333276,0.004907641795614798,0.7328083895867841,0.005629796144484756,0.7262149517290766,0.00660925638112111,0.7829862048311406,0.006084854069987674,0.6167230608823633,0.012704007872741197,0.6516052163592267,0.015125708159070713,0.7930200000000001,0.005828245400156421,0.697665625865346,0.005083133608002921,3.8000315305000045,0.15684567425889437,3.8000315305000045,0.15684567425889437
tree + SMOTE,0.6208692478351308,0.0190774303389749,0.5646299187187465,0.008601771750233305,0.797391215920731,0.003747407826394526,0.7313813748447561,0.004505302484982778,0.7255584362116052,0.005435404508482067,0.7834571076319844,0.005123123063414676,0.5634544448634135,0.006620904240564022,0.6208705869293828,0.0190774303389749,0.79238,0.004420356948884961,0.6574696673902425,0.01643821955560373,8.234632979099995,0.21192057014533577,8.234632979099995,0.21192057014533577
