alpha,f1_mean,bal_mean
0.0,0.5392354709473395,0.5252774209889448
0.25,0.5461287158074943,0.5592958386306106
0.5,0.5519434591887502,0.6055607765688966
0.75,0.5584641205821084,0.6434422509392861
1.0,0.5449548268270155,0.6456232338088327
