criterion,max_depth,min_samples_leaf,class_weight,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
entropy,13.0,5,balanced,0.0005,0.6516508360105379,0.021816163050694296,0.5395174744266389,0.014520115732384502,1.0117013722001502,0.01273225499999171
entropy,10.0,5,balanced,0.0001,0.6502843194964815,0.024024316991525102,0.5221888758165553,0.019310828197276454,0.8395985399999517,0.01170012319998932
entropy,10.0,5,balanced,5e-05,0.650103632923589,0.0238896342287513,0.5221945627639306,0.01914880221063344,0.8537616019998495,0.011515719199996966
entropy,10.0,5,balanced,1e-05,0.6500268144040068,0.023839688447392354,0.5221731874549712,0.01912474402599705,0.8513925715999904,0.011569124999914493
entropy,10.0,5,balanced,0.0,0.6500023645262561,0.023890153362903094,0.5221489807455875,0.019177043754407378,0.8627955251999992,0.012830589000077452
entropy,10.0,5,balanced,1e-06,0.6500023645262561,0.023890153362903094,0.5221489807455875,0.019177043754407378,0.845744210399971,0.011671635000038805
entropy,10.0,5,balanced,0.0005,0.6496706437886427,0.0206978164323544,0.5213795160501679,0.015626594585621763,0.8302574007999283,0.011199866800052406
entropy,13.0,5,balanced,0.0001,0.6465554126619516,0.01849406989928431,0.545045970742485,0.015894830175225704,1.0105514091999794,0.01188485260008747
entropy,13.0,5,balanced,5e-05,0.6461261579344202,0.01916770664037905,0.5450556320265052,0.016917944649551857,1.0274535316000766,0.013314132999948925
entropy,13.0,5,balanced,1e-05,0.6457204637485369,0.018891472578922847,0.5450177179630017,0.016604164527072095,0.9674144330000672,0.011910368200005905
entropy,13.0,5,balanced,0.0,0.6456232338088327,0.01887552346169496,0.5449548268270155,0.01657092609358274,0.9439902439999969,0.012527259800026513
entropy,13.0,5,balanced,1e-06,0.6456232338088327,0.01887552346169496,0.5449798659249283,0.016606760189078897,0.9550145359999078,0.011929330800103343
entropy,,5,balanced,0.0005,0.6372506593345513,0.02147369848706483,0.5303816452425503,0.016344271610818757,1.0826148699999976,0.0116435693998028
entropy,,5,balanced,0.0001,0.6159796085097493,0.014159385256768338,0.540699763961659,0.013754207189095624,1.1267094257999815,0.012429373000031774
entropy,,5,balanced,5e-05,0.609407089184336,0.014299423507120879,0.5399445670500966,0.014542546884727682,1.101944693599944,0.012568822000048385
entropy,,5,balanced,1e-05,0.6042865357433419,0.014193943108876136,0.5381246996417139,0.0142948095815652,1.1812502420000783,0.013962613200055785
entropy,,5,balanced,1e-06,0.604017086198289,0.014248980420888306,0.5379638837219703,0.014432784588477939,1.1110792004000358,0.012721997199969337
entropy,,5,balanced,0.0,0.604017086198289,0.014248980420888306,0.5379398935231683,0.014403262591219554,1.1061740080001072,0.012555623999924137
entropy,7.0,5,balanced,1e-06,0.6040010665835872,0.01614671615620767,0.46039712948389866,0.006328426117038065,0.7064685245999499,0.011570626399952743
entropy,7.0,5,balanced,0.0001,0.6040010665835872,0.01614671615620767,0.46039712948389866,0.006328426117038065,0.7356205797999792,0.012062922200038883
entropy,7.0,5,balanced,1e-05,0.6040010665835872,0.01614671615620767,0.46039712948389866,0.006328426117038065,0.7355811309998899,0.01206462600002851
entropy,7.0,5,balanced,0.0,0.6040010665835872,0.01614671615620767,0.46039712948389866,0.006328426117038065,0.7352109028000996,0.01243576419992678
entropy,7.0,5,balanced,5e-05,0.6040010665835872,0.01614671615620767,0.46039712948389866,0.006328426117038065,0.7526399972000035,0.01219087720000971
entropy,7.0,5,balanced,0.0005,0.6039027919692669,0.016162696703912637,0.460114442020349,0.006407089635633534,0.7452802725998481,0.01189819159999388
