comparison,mean_a,mean_b,mean_difference,wilcoxon_statistic,wilcoxon_p,holm_p,significant,paired_t_statistic,paired_t_p
k-NN vs k-NN + SMOTE,0.5436471426939826,0.5339282497778408,0.0097188929161418,0.0,0.001953125,0.01171875,True,5.101088406080183,0.00064420516418627
k-NN vs tree,0.5436471426939826,0.5892908002280871,-0.0456436575341044,0.0,0.001953125,0.01171875,True,-11.364313551557549,1.222467634457576e-06
k-NN vs tree + SMOTE,0.5436471426939826,0.5646299187187465,-0.0209827760247638,0.0,0.001953125,0.01171875,True,-7.95007093095643,2.32693238552805e-05
k-NN + SMOTE vs tree,0.5339282497778408,0.5892908002280871,-0.0553625504502462,0.0,0.001953125,0.01171875,True,-17.61413670464017,2.7752630864519352e-08
k-NN + SMOTE vs tree + SMOTE,0.5339282497778408,0.5646299187187465,-0.0307016689409056,0.0,0.001953125,0.01171875,True,-14.56870452881407,1.45304138081475e-07
tree vs tree + SMOTE,0.5892908002280871,0.5646299187187465,0.0246608815093406,0.0,0.001953125,0.01171875,True,9.669875573324676,4.728355789997115e-06
