variant,bal_mean,bal_std,f1_mean,seconds
selected pipeline,0.6083964242928495,0.02566967858319144,0.5218087866624804,0.3322071536000294
min-max scaling added,0.6064732252116605,0.02519783900148024,0.5212146094145376,0.3017947281998204
correlation filter added,0.5909783438593988,0.010460046466526174,0.4966269566584606,0.34018522719998145
one-hot instead of ordinal,0.6061777939554654,0.02127888419036559,0.5224095533833102,0.3550052066000717
identifier retained,0.6423534864910643,0.018767350206785646,0.5618696626831774,0.34347409599995443
