fold,baseline,tuned
1,0.5481880448632923,0.5435296744225964
2,0.5353685940511099,0.5623845979508348
3,0.523985784819795,0.5513211216688935
4,0.5235476876517016,0.5379548009938465
5,0.5134359225351455,0.5449218060897609
6,0.5388243916283083,0.5462077199941393
7,0.5303505929157628,0.5404734153761986
8,0.5245748659341205,0.5332121737237753
9,0.5080377987689554,0.5422585628124486
10,0.5114340381879313,0.5348522698223312
