configuration,recall_Normal_mean,recall_Normal_std,recall_Reconnaissance_mean,recall_Reconnaissance_std,recall_Backdoor_mean,recall_Backdoor_std,recall_DoS_mean,recall_DoS_std,recall_Exploits_mean,recall_Exploits_std,recall_Analysis_mean,recall_Analysis_std,recall_Fuzzers_mean,recall_Fuzzers_std,recall_Worms_mean,recall_Worms_std,recall_Shellcode_mean,recall_Shellcode_std,recall_Generic_mean,recall_Generic_std
k-NN,0.879168458781362,0.004205930248008027,0.6551954242135367,0.01439469665558992,0.07497865353037762,0.013831576390590416,0.7033856898415345,0.017989284139824663,0.6054689901419085,0.013391847635243684,0.1309975124378109,0.021578363589822687,0.6803968439724676,0.00884105698893333,0.20769230769230768,0.06332866171912038,0.5658205247632355,0.03988377589361619,0.9769890350337288,0.0023036581003062495
k-NN + SMOTE,0.8778064516129032,0.004533252826629771,0.7187797902764538,0.015052709605754066,0.08013136288998354,0.012610153238144354,0.7300460944677332,0.01859080266586673,0.5468952929720075,0.012310718639134294,0.15689552238805965,0.023615064307820257,0.6736329212910296,0.008406615890574717,0.4384615384615384,0.06332866171912035,0.6143223102002795,0.043072749286036716,0.9765134146191343,0.0022834053608798166
tree,0.8135770609318996,0.02708434348512889,0.7478551000953289,0.01330246945594817,0.09960919540229882,0.014650499915169351,0.8053809673855383,0.010390129285072432,0.5660905143890117,0.012757944259673255,0.2714452736318408,0.03658787944131749,0.7228510811498963,0.047676192223501584,0.776923076923077,0.12270242168210668,0.7352429746933706,0.044337493613865187,0.9771476008173717,0.0024501942818386142
tree + SMOTE,0.8358566308243727,0.022906931890219688,0.7062917063870352,0.0282020659002488,0.1877142857142857,0.042597519994642244,0.8088874441435298,0.011357849692024713,0.5610297016030831,0.013994752675105648,0.1648383084577114,0.03655958084069184,0.6811172678565273,0.052936796940192175,0.5923076923076923,0.16237066870756478,0.6937509703462196,0.06602743060085087,0.9768984707108507,0.002545032459985385
