variant,bal_mean,bal_std,f1_mean,seconds
selected pipeline,0.4744456119923449,0.015085591675672597,0.4852965983943833,1.4960811783996177
no scaling,0.319154881613421,0.004603391755627726,0.323073061028811,1.3704553076000594
min-max instead of rank,0.41598797548855454,0.007837250803466138,0.4189552527173631,1.3641634687999613
correlation filter added,0.45969122329185347,0.02387947307870019,0.4702223837521237,1.3221611639995898
no rare-level grouping,0.4738229244748859,0.016447865437151266,0.48500395090178283,4.667022820199963
identifier retained,0.4794148307059468,0.01799207248581468,0.49131338231405086,1.5675366565999866
