k,weights,metric,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
6,distance,manhattan,0.42870097407329855,0.01013352279675811,0.4420123832831121,0.013017251320639465,0.2901315737999539,9.452973351600122
4,distance,manhattan,0.42842707844360445,0.009812973630077323,0.43642335571743224,0.010497753940570422,0.2883828318002088,9.259065916399868
5,distance,manhattan,0.4283575756226445,0.008987849796280261,0.4405945529328653,0.011975791466242633,0.2837009651999324,9.285536253200007
7,distance,manhattan,0.4259078655525528,0.009238958656110244,0.4408247209967443,0.014224232452769324,0.29433943640005966,9.459741354400013
9,distance,manhattan,0.4252614961695387,0.006759441310147152,0.44074096127255596,0.010636480456782185,0.28778189199992993,9.349972487000013
3,distance,manhattan,0.424776681344572,0.008943789060893893,0.42792162687659613,0.009556018384958448,0.2925527196000985,9.224671391599895
