alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.75,13.0,2,entropy,0.0,0.6356020940611085,0.01885968173426661,0.5584641205821084,0.008925949831519507,1.2843872603999897,0.016735818999995898
0.75,13.0,1,entropy,0.0,0.6235383980846921,0.015136809137683253,0.5540382938671847,0.006494425841210469,1.2738163720000102,0.017260151000073165
0.75,20.0,2,entropy,0.0,0.5856018155804386,0.017461243841330888,0.5522150545223662,0.01892941937778025,1.4784096217999376,0.020087215200010177
0.5,13.0,2,entropy,0.0,0.5989652308453379,0.023994410656351255,0.5519434591887502,0.025127673281539236,1.3784554114000003,0.01965424680001888
0.75,13.0,5,entropy,0.0,0.6434422509392861,0.021735957489450237,0.5516420569751948,0.012212291833356603,1.2835253287999877,0.017454793599927142
0.5,13.0,1,entropy,0.0,0.5940824090945988,0.01470967460544884,0.5494353916627788,0.019409987269413936,1.427488890199993,0.01778298299996095
0.5,13.0,5,entropy,0.0,0.6055607765688966,0.02379165443270287,0.5485806104346398,0.02376573430880813,1.380201361799982,0.019063752400006705
0.75,20.0,5,entropy,0.0,0.6123174996408349,0.018334240737324762,0.5472435971618641,0.015186909056054266,1.3581964573999812,0.017464366799958952
0.25,13.0,5,entropy,0.0,0.5592958386306106,0.01925025315037632,0.5461287158074943,0.013220072771903768,1.2841438693999863,0.018988064800032588
0.25,13.0,1,entropy,0.0,0.5491287078085122,0.011266419225072585,0.5457817366366786,0.015077054940057715,1.415017725200005,0.01828447280004184
0.25,13.0,2,entropy,0.0,0.5563517879749893,0.011732316194321267,0.5454346912308783,0.010905831018053414,1.2961986022000473,0.017081746200074122
1.0,13.0,5,entropy,0.0,0.6456232338088327,0.01887552346169496,0.5449548268270155,0.01657092609358274,1.2895647437999742,0.01700930939996397
1.0,13.0,2,entropy,0.0,0.6265232406978691,0.0202753875830746,0.5447061411227272,0.019787998846152552,1.322748033199923,0.019159536799998024
0.75,20.0,1,entropy,0.0,0.5594210051925721,0.015263636327210806,0.5437545266566504,0.013675285041481777,1.5222004044000186,0.017837382200013963
1.0,20.0,2,entropy,0.0,0.5827659104387275,0.017335646490427677,0.5408313839731091,0.016167688465420414,1.4565411752000272,0.017491436199952658
1.0,20.0,5,entropy,0.0,0.615297528912016,0.014363137975831181,0.5392359557341215,0.015077462803029571,1.5143432072000451,0.019285399000000324
0.0,20.0,2,entropy,0.0,0.5201005993017346,0.007437944688763013,0.5392354709473395,0.011281564112840349,1.4053648090000024,0.01619920560005994
0.25,20.0,5,entropy,0.0,0.5583090229356342,0.020801668474082238,0.5391754594200873,0.011501804979881793,1.4579396685999655,0.0176305290000073
0.5,20.0,5,entropy,0.0,0.5795440324292761,0.0247521352642943,0.5391366706516287,0.022530194358405916,1.5476731526000094,0.021028851000028225
0.75,30.0,2,entropy,0.0,0.5629724389039011,0.018874066220054043,0.5386668947658924,0.01981420875179181,1.5839814909999403,0.019853882799998245
0.75,30.0,5,entropy,0.0,0.5992116239760429,0.02011620932803713,0.5386236332189958,0.015261049202368914,1.5290588354000192,0.01781066319999809
0.25,20.0,2,entropy,0.0,0.5539208752059748,0.009146418518512103,0.5385306114913712,0.004374794316644139,1.4378784410000207,0.02346983000002183
1.0,30.0,5,entropy,0.0,0.60494302518034,0.014867669929099188,0.5384614618033654,0.014581227629785764,1.4726868763999392,0.01773092819998965
0.25,20.0,1,entropy,0.0,0.5394093316283385,0.01724998129734202,0.5383088083967167,0.015805846316441333,1.494164291600009,0.0188964500000111
0.5,20.0,2,entropy,0.0,0.5551074912197766,0.02181179975382553,0.5382656798654082,0.02160920479062532,1.5644998137999664,0.023715359000061654
1.0,30.0,2,entropy,0.0,0.5666774779501746,0.019718678406744596,0.5380521339300934,0.015399101557236228,1.5218724490000113,0.018482305399948017
1.0,,5,entropy,0.0,0.604017086198289,0.014248980420888306,0.5379398935231683,0.014403262591219554,1.561425623399964,0.019547144200032562
0.0,13.0,2,entropy,0.0,0.5122952240216918,0.014855856577096031,0.5377610598689555,0.011382440993593507,1.2480052961999717,0.01793579959999079
0.75,,2,entropy,0.0,0.560118164505077,0.014393944400960822,0.537570781655323,0.01568550812509231,1.4359886756000377,0.017422133799937
1.0,,2,entropy,0.0,0.564715225096443,0.01834466624940697,0.5369204465069629,0.014451612922536635,1.6622008534000543,0.020643411400033073
0.75,,5,entropy,0.0,0.5953152398521564,0.01670579418455091,0.5367526335728968,0.013344241809600787,1.442258838800035,0.020877211399965744
0.0,20.0,5,entropy,0.0,0.5179833204487436,0.013625609776300045,0.5357773689075861,0.016719635909301846,1.402760515799946,0.015455118599993512
0.25,30.0,5,entropy,0.0,0.557212566514733,0.01971845699065874,0.5354700145423685,0.011934529887621394,1.4734148573999846,0.017601912799955245
1.0,13.0,1,entropy,0.0,0.6090605545941216,0.012806827739665417,0.5352639311816924,0.014732964277674808,1.3371071022000707,0.01710370180003338
0.0,30.0,5,entropy,0.0,0.5195778417378303,0.013043399243101548,0.5346146621621346,0.018344187253465823,1.394400658599943,0.017891169800032004
0.25,,5,entropy,0.0,0.5568240610598829,0.019573955956863932,0.5344142329848729,0.011170471740809604,1.560493235800004,0.019774410000081843
0.0,,5,entropy,0.0,0.5163829447011568,0.008684406487525118,0.5307530492832595,0.013217292347409459,1.419834653999942,0.019240074399976947
0.5,20.0,1,entropy,0.0,0.5393658226725109,0.010871115102316609,0.5304780521507894,0.011410197119669636,1.6710216135999416,0.020105494200061004
0.25,30.0,2,entropy,0.0,0.5496912061477823,0.011243173519021571,0.5304391673081902,0.006096848425745093,1.5215465047999714,0.0168944031999672
0.0,20.0,1,entropy,0.0,0.5204786133791923,0.012845648603807252,0.5303056220402778,0.009140713072249085,1.4263085738000427,0.017280876200038618
0.0,13.0,1,entropy,0.0,0.5111582091358786,0.008528475756393079,0.5301170762175962,0.006614964080612969,1.3960490608000327,0.017719582000063384
0.0,30.0,1,entropy,0.0,0.5252774209889448,0.015097172820007115,0.5296360993964512,0.012936688124733786,1.5653655176000485,0.018706833800115417
0.5,30.0,5,entropy,0.0,0.5681068048827166,0.02569350194798539,0.5292670515765544,0.022498519875710464,1.464621317799947,0.018641874400054805
0.75,,1,entropy,0.0,0.5345536209107602,0.015796417495618147,0.5285780604466246,0.015704443264056164,1.5609126689999813,0.017788613600032477
