transformation,bal_mean,bal_std,f1_mean,f1_std,seconds
rank based,0.47624578021774333,0.011946390359822354,0.48513861398824565,0.018529235736202722,3.1796669371999995
"logarithmic, then min-max",0.4739814714607836,0.010609900234561043,0.4883354618357159,0.02221346573236341,2.89559934100007
robust to outliers,0.46144696130822177,0.02216531949165797,0.4715698147442948,0.028918085533071076,2.8892849576000117
z-score,0.41902147959931246,0.007520173714771281,0.4244466788850533,0.008767834818253283,2.892633542200019
min-max,0.413318971452371,0.007899870039984708,0.41714586004975357,0.009915364143421592,2.9288144489999466
