k,weights,metric,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
5,distance,manhattan,0.48864966977024293,0.009169423217421787,0.5028192965526431,0.013246842146506996,0.4161230711999451,10.786459943799855
1,uniform,manhattan,0.4881923718703394,0.011497670215348203,0.4904214549486411,0.011091153182926224,0.39094145099998057,10.639941939200071
1,distance,manhattan,0.4881923718703394,0.011497670215348203,0.4904214549486411,0.011091153182926224,0.3915530491998652,10.618846826399931
7,distance,manhattan,0.4876273294169972,0.012205048082345616,0.5021167089585108,0.016594319598494913,0.3983155973999601,11.11055517900022
3,distance,manhattan,0.4846465760692233,0.010219003589496293,0.49259889297395587,0.010456192992210315,0.40346372040003187,10.912762819399722
9,distance,manhattan,0.483389044461297,0.010864563287029493,0.49520724013439743,0.01456915005568104,0.4012524850002592,10.915918780600077
11,distance,manhattan,0.47948321654748566,0.006181346901359654,0.4901797145060563,0.006810933666610021,0.388832610999998,10.853804105400013
5,distance,euclidean,0.4792091370560552,0.005517528454035638,0.4896041003494229,0.00772931968733685,0.3951790587998403,1.6843282765999903
1,uniform,euclidean,0.47863112661795765,0.004417972300077335,0.4800702785797105,0.00656679023248374,0.47333265820007,1.7352265249998708
1,distance,euclidean,0.47863112661795765,0.004417972300077335,0.4800702785797105,0.00656679023248374,0.397319884800163,1.6989015451998966
15,distance,manhattan,0.47697168890115965,0.007026010852068219,0.4879749345799113,0.007494934809502453,0.3961879426000451,10.837852227000075
3,distance,euclidean,0.47567225730118157,0.007440347951924955,0.478794356540051,0.010302156670870529,0.40879251880014633,1.7640418956001667
5,uniform,manhattan,0.4750541167008805,0.011361390055333397,0.4913505118261757,0.018439593213436335,0.3922009795998747,10.838242557200283
7,distance,euclidean,0.4746925178975562,0.003848532298249344,0.48622127257518655,0.00498328216313759,0.39285894479999117,1.696633975199802
21,distance,manhattan,0.47328013126719837,0.006552817043457602,0.4840709204527417,0.00796125158847784,0.4117105425999398,10.742274636599905
9,uniform,manhattan,0.472164899947299,0.007690271315420468,0.4860573569756915,0.009971247138022402,0.4400537764000546,10.991911156400056
11,uniform,manhattan,0.47183797937031446,0.006252746901464667,0.48636270932200115,0.006862078824485201,0.3906652073999794,10.775919425600113
7,uniform,manhattan,0.4711123313932185,0.0053796263358265005,0.48463603024448487,0.007763259223769647,0.4120464378000179,11.661291990200334
9,distance,euclidean,0.47092931734221805,0.005685296158871255,0.48152661726121015,0.007967817578144052,0.4107870625999567,1.6973380383999028
3,uniform,manhattan,0.4696869287193547,0.005352690885914115,0.4815813305260014,0.006992467394407664,0.39502764120015854,10.960765214000094
11,distance,euclidean,0.4686337942884971,0.006379564024254051,0.4799373316909586,0.008664012785583333,0.4074388886001543,1.7253241479998906
15,uniform,manhattan,0.4678943323766383,0.0072846565090342605,0.4819337691449774,0.007823729812534498,0.39263959279978733,10.98586595140041
15,distance,euclidean,0.4677715955444631,0.006531067213978898,0.4802710407683654,0.008570668244902848,0.3866267624000102,1.6848987712000962
31,distance,manhattan,0.46776513629873007,0.006811432824682389,0.4795550311860577,0.007745727142522069,0.39383961340026874,11.3310262342
5,uniform,euclidean,0.46671430383717877,0.0038968981409757564,0.4804468938686214,0.0052345589899601575,0.3936365918001684,1.712411799199981
7,uniform,euclidean,0.46319550183173436,0.007212942822302282,0.4753527058591276,0.010323528541666033,0.39957804239984396,1.6938065464000829
3,uniform,euclidean,0.4630849060327848,0.007921872112060583,0.47139857801028323,0.012826886370185007,0.39527161959995283,1.6778996055998505
21,uniform,manhattan,0.46252410276907563,0.005829750739076036,0.47447873240545907,0.005579960387123067,0.3929850754000654,10.742038051599774
9,uniform,euclidean,0.4614308900406486,0.0037743453500529408,0.47364395495344774,0.006774563125300584,0.4099961338000867,1.7679163878001418
21,distance,euclidean,0.461378799003905,0.007402530026507196,0.47442760074169266,0.009920815153109034,0.38624797980010045,1.6998610980001103
11,uniform,euclidean,0.45930278692101467,0.003414681541108462,0.47183426333199463,0.006334995331310697,0.3913426752000305,1.6945864864002942
51,distance,manhattan,0.4586520083082415,0.00803819793122739,0.4714116949436783,0.00934990987961634,0.41418070620002256,10.955487803200231
15,uniform,euclidean,0.45828469436646657,0.00511872924569321,0.47184267315457645,0.007311395073498098,0.38823053880023506,1.6880077760002679
31,distance,euclidean,0.45460706406586626,0.007346994301890958,0.4672694710561867,0.009641542264095634,0.41031536119990053,1.7943178665998858
31,uniform,manhattan,0.4540776345954688,0.0065058143902088,0.46623898632587435,0.006333819118864933,0.3944515239998509,10.945513662400117
21,uniform,euclidean,0.4501150190155424,0.005008289113911147,0.4622820110190289,0.006908807170981318,0.40501598520004334,1.710862067800008
51,distance,euclidean,0.4462520517748727,0.006613334551123361,0.4601728992201514,0.008934996028584156,0.4032690965999791,1.9169173593998494
51,uniform,manhattan,0.4426828411209211,0.009080550582573595,0.45437809706887017,0.010238941797356496,0.39330891560020975,11.057166860799953
31,uniform,euclidean,0.4425007502536559,0.006871482175756634,0.4540741518270247,0.009171118562084721,0.3901329145999625,1.7760817899998074
51,uniform,euclidean,0.43069931885787716,0.0023381444731895283,0.4417000899729552,0.004443456363288169,0.39320661239980836,1.8360582898001667
