fold,plain,tuned
1,0.5788483759680931,0.6010077333741599
2,0.583321879053793,0.6019401076429196
3,0.5773675030099408,0.5921357300904653
4,0.5705078976413458,0.5907168980817851
5,0.5469885659018207,0.5703697849565611
6,0.5566448004030615,0.5824063344385749
7,0.5788832454440873,0.5917253117609458
8,0.5800494226578786,0.6032398359431865
9,0.5638891597704364,0.5783634521994437
10,0.5643489358269281,0.5810028137928288
